1,555144320023
2,253144520023
3,554125220044
4,251134510042
5,254100220045
6,311100540025
7,253145120043
8,441115410022
9,315145330024
10,552235530015
11,323133123452
12,552100520025
13,442135420014
14,253144521513
15,555134220053
16,311125230053
17,253144510023
18,311500350055
19,552114323543
20,442125520013
21,313214334553
22,551215520044
23,252154120042
24,154255230045
25,251255320042
26,311144520013
27,552143511513
28,552114510053
29,311155510015
30,311225524513
31,441113312552
32,252135520015
33,551114214552
34,553144511513
35,311115515532
36,311254523514
37,441114410051
38,253123515513
39,551113311551
40,251154310051
